Firm Name,Partner Name,Tier,Status,Outreach Date,Follow-up Date,Response,Meeting Date,Feedback Notes,Next Action
AI Fund,Andrew Ng,Tier 1 - AI Native,Not Contacted,,,,,,Research Andrew Ng's recent AI thesis posts; draft personalized cold email
AIX Ventures,Shack Lovett,Tier 2 - AI Native,Not Contacted,,,,,,Check application window on website; prepare application
Gradient Ventures,Darian Shirazi,Tier 1 - AI Native,Not Contacted,,,,,,Leverage Gemini/Google connection in pitch; apply via website
Conviction,Sarah Guo,Tier 1 - AI Native,Not Contacted,,,,,,Follow Sarah on Twitter/X; engage with her AI content before outreach
Radical Ventures,Jordan Jacobs,Tier 2 - AI Native,Not Contacted,,,,,,Research portfolio for synergies; apply via website
Coatue Management,Matt Mazzeo,Tier 2 - AI Native,Not Contacted,,,,,,Seek warm intro; large fund may prefer later stage
AI Grant,Nat Friedman & Daniel Gross,Tier 1 - AI Native,Not Contacted,,,,,,Watch for next application window; prepare technical deep-dive
Y Combinator,Garry Tan,Tier 1 - Accelerator,Not Contacted,,,,,,Check next batch application deadline; prepare YC application
Sequoia Capital (Arc),Konstantine Buhler,Tier 1 - Tier-1 VC,Not Contacted,,,,,,Apply to Sequoia Arc; seek warm intros via network
Andreessen Horowitz (a16z),Anjney Midha,Tier 1 - Tier-1 VC,Not Contacted,,,,,,Review a16z AI thesis; apply via website; seek warm intros
Khosla Ventures,Vinod Khosla,Tier 1 - Tier-1 VC,Not Contacted,,,,,,Emphasize contrarian hallucination-free angle; apply via website
Lightspeed Venture Partners,Michael Mignano,Tier 1 - Tier-1 VC,Not Contacted,,,,,,Research scout program; apply via website
Greylock Partners,Saam Motamedi,Tier 1 - Tier-1 VC,Not Contacted,,,,,,Seek warm intro; emphasize enterprise AI thesis alignment
Accel,Sonali De Rycker,Tier 2 - Tier-1 VC,Not Contacted,,,,,,Apply via website; research recent AI investments
Emergence Capital,Jake Saper,Tier 1 - Enterprise AI,Not Contacted,,,,,,Strong thesis fit for AI assistant; reference coaching networks thesis
Salesforce Ventures,John Somorjai,Tier 2 - Enterprise AI,Not Contacted,,,,,,Explore Salesforce ecosystem integration angle
Madrona Ventures,Matt McIlwain,Tier 2 - Enterprise AI,Not Contacted,,,,,,Highlight cloud/AI architecture; apply via website
Blume Ventures,Karthik Reddy,Tier 1 - India Seed,Not Contacted,,,,,,Research India AI market angle; apply via website
Lightspeed India,Dev Khare,Tier 1 - India Seed,Not Contacted,,,,,,Leverage Lightspeed global connection; apply via website
Peak XV Partners (Surge),Rajan Anandan,Tier 1 - India Seed,Not Contacted,,,,,,Apply to Surge accelerator program; check next cohort dates
Nexus Venture Partners,Pratik Poddar,Tier 1 - India Seed,Not Contacted,,,,,,Engage Pratik on Twitter/X; he's accessible and responsive
Kalaari Capital,Vani Kola,Tier 2 - India Seed,Not Contacted,,,,,,Research Vani's AI investment thesis; apply via website
Chiratae Ventures,Sudhir Sethi,Tier 2 - India Seed,Not Contacted,,,,,,Emphasize deep tech angle; apply via website
Stellaris Venture Partners,Rahul Chowdhri,Tier 2 - India Seed,Not Contacted,,,,,,Highlight product-led growth strategy; apply via website
Techstars AI Program,Various,Tier 2 - Accelerator,Not Contacted,,,,,,Check AI-specific track dates; prepare application
Google for Startups,Various,Tier 1 - Accelerator,Not Contacted,,,,,,Natural fit for Gemini-powered product; apply for AI First program
NVIDIA Inception,Various,Tier 3 - Ecosystem,Not Contacted,,,,,,Apply for GPU credits and ecosystem access; not direct investment
Microsoft for Startups,Various,Tier 3 - Ecosystem,Not Contacted,,,,,,Apply for Azure credits and Founders Hub; potential M12 VC intro
500 Global,Courtney Powell,Tier 2 - Accelerator,Not Contacted,,,,,,Check batch application dates; strong Asia/India presence
Initialized Capital,Garry Tan,Tier 2 - Tier-1 VC,Not Contacted,,,,,,Garry also at YC - potential double touchpoint; apply via website
Lux Capital,Josh Wolfe,Tier 2 - Deep Tech,Not Contacted,,,,,,Research Josh's frontier AI thesis; seek warm intro
Elad Gil (Angel),Elad Gil,Tier 1 - Angel,Not Contacted,,,,,,Read High Growth Handbook; reference in outreach; email or Twitter/X
Naval Ravikant (Angel),Naval Ravikant,Tier 2 - Angel,Not Contacted,,,,,,Engage on Twitter/X first; keep pitch very concise
Gokul Rajaram (Angel),Gokul Rajaram,Tier 2 - Angel,Not Contacted,,,,,,Connect on LinkedIn; reference product-led growth alignment
Balaji Srinivasan (Angel),Balaji Srinivasan,Tier 3 - Angel,Not Contacted,,,,,,Engage on Twitter/X; emphasize frontier tech angle
Greg Brockman (Angel),Greg Brockman,Tier 3 - Angel,Not Contacted,,,,,,Very selective; seek warm intro through AI network
Felicis Ventures,Aydin Senkut,Tier 2 - Tier-1 VC,Not Contacted,,,,,,Apply via website; strong AI portfolio fit
